ip,port,protocols,anonymity,country,city,latency_ms,uptime_pct,alive,uptime_24h,uptime_7d,reliability
51.92.173.133,9179,https|socks4|socks5,elite,ES,Zaragoza,140,11.6,true,17.6,12.5,reviving
51.49.153.183,41793,https|socks4|socks5,elite,ES,Zaragoza,142,11.4,true,17.6,11.5,reviving
15.160.132.166,1645,https|socks4|socks5,elite,IT,Milan,142,13.9,true,16.7,11.5,reviving
13.38.27.183,32513,https|socks4|socks5,elite,FR,Paris,142,13.5,true,5.9,10.9,reviving
51.34.28.236,15796,https|socks4|socks5,elite,CH,Zurich,144,16.0,true,11.8,9.7,reviving
13.60.163.108,9156,https|socks4|socks5,elite,SE,Stockholm,144,13.6,true,11.8,9.6,reviving
13.53.139.178,13438,socks4|socks5,elite,SE,Stockholm,146,13.7,true,5.9,9.8,reviving
13.51.196.44,33731,socks4,elite,SE,Stockholm,146,14.4,true,5.9,7.1,reviving
3.121.130.230,3665,https|socks4|socks5,elite,DE,Frankfurt am Main,147,12.6,true,5.9,9.3,reviving
13.48.13.125,55719,https|socks4,elite,SE,Stockholm,148,11.7,true,17.6,7.1,reviving
15.237.108.20,35322,https|socks4|socks5,elite,FR,Paris,148,14.5,true,27.8,12.6,reviving
51.49.153.183,2083,socks4,elite,ES,Zaragoza,149,13.3,true,17.6,9.4,reviving
15.237.108.20,48270,https|socks4|socks5,elite,FR,Paris,149,13.9,true,11.8,13.9,reviving
51.49.153.183,3129,socks4,elite,ES,Zaragoza,150,13.4,true,12.5,11.1,reviving
13.51.196.44,16919,socks4|socks5,elite,SE,Stockholm,152,13.3,true,22.2,9.5,reviving
13.60.163.108,23466,https|socks4,elite,SE,Stockholm,153,9.0,true,22.2,9.0,reviving
13.51.196.44,38349,https|socks4|socks5,elite,SE,Stockholm,153,13.3,true,12.5,9.8,reviving
13.48.13.125,30177,https|socks4|socks5,elite,SE,Stockholm,153,11.5,true,11.8,6.8,reviving
13.51.196.44,55272,https|socks4|socks5,elite,SE,Stockholm,156,13.8,true,25.0,12.0,reviving
15.237.108.20,54588,https|socks4|socks5,elite,FR,Paris,157,15.5,true,17.6,8.8,reviving
18.170.25.193,22484,https|socks4|socks5,elite,GB,City of London,160,7.2,true,5.9,6.6,reviving
15.160.116.45,38897,https|socks4|socks5,elite,IT,Milan,161,13.4,true,6.3,14.1,reviving
212.127.95.235,8081,http,elite,PL,Wroclaw,162,88.3,true,75.0,92.8,flaky
15.161.131.175,31522,socks4|socks5,elite,IT,Milan,163,15.4,true,11.8,7.6,reviving
109.123.251.109,1080,socks4|socks5,elite,FR,Lauterbourg,164,69.1,true,57.1,57.2,reviving
3.121.130.230,55074,https|socks4|socks5,elite,DE,Frankfurt am Main,165,13.4,true,33.3,13.0,reviving
34.246.183.20,1083,https|socks4|socks5,elite,IE,Dublin,167,9.0,true,6.3,7.8,reviving
15.161.131.175,7902,https|socks4|socks5,elite,IT,Milan,168,13.0,true,12.5,9.8,reviving
77.242.177.57,3128,http,anonymous,IT,Biella,174,63.7,true,86.4,62.5,flaky
18.170.25.193,25032,https|socks4|socks5,elite,GB,City of London,174,12.5,true,5.9,8.5,reviving
51.49.153.183,13492,https|socks4|socks5,elite,ES,Zaragoza,174,16.7,true,17.6,16.7,reviving
13.60.163.108,21,socks4|socks5,elite,SE,Stockholm,175,10.8,true,17.6,10.6,reviving
13.60.181.61,10050,https|socks4|socks5,elite,SE,Stockholm,175,12.3,true,5.9,8.8,reviving
13.51.196.44,525,https|socks4|socks5,elite,SE,Stockholm,175,11.4,true,11.8,8.0,reviving
52.47.115.41,18754,socks4|socks5,elite,FR,Paris,176,13.2,true,12.5,9.9,reviving
116.202.108.111,3128,http,transparent,DE,Falkenstein,176,90.4,true,95.7,99.8,stable
149.62.186.244,1080,socks4|socks5,elite,IT,,178,84.4,true,81.8,77.4,reviving
63.181.83.210,23797,socks4|socks5,elite,DE,Frankfurt am Main,179,10.9,true,6.3,5.2,reviving
63.181.83.210,8028,https|socks4|socks5,elite,DE,Frankfurt am Main,180,15.0,true,11.8,13.6,reviving
15.160.132.166,8081,https|socks4,elite,IT,Milan,184,13.3,true,17.6,10.1,reviving
13.48.13.125,22085,https|socks4|socks5,elite,SE,Stockholm,186,8.7,true,11.8,8.5,reviving
52.47.115.41,1080,https|socks4,elite,FR,Paris,186,13.3,true,5.9,11.8,reviving
13.53.139.178,8800,https|socks4|socks5,elite,SE,Stockholm,187,11.4,true,16.7,10.7,reviving
13.60.181.61,8183,https|socks4|socks5,elite,SE,Stockholm,187,12.9,true,16.7,9.6,reviving
3.127.27.51,3257,https|socks4|socks5,elite,DE,Frankfurt am Main,187,12.6,true,23.5,14.4,reviving
52.47.115.41,9327,https|socks4|socks5,elite,FR,Paris,190,10.3,true,16.7,6.9,reviving
51.84.101.19,8699,https|socks4,elite,IL,Tel Aviv,191,11.9,true,11.8,9.1,reviving
51.17.154.141,104,socks4,elite,IL,Tel Aviv,191,12.2,true,23.5,8.2,reviving
15.160.132.166,10000,https|socks4,elite,IT,Milan,192,11.3,true,17.6,13.6,reviving
15.237.108.20,18792,https|socks4|socks5,elite,FR,Paris,193,14.0,true,27.8,9.9,reviving
51.16.4.39,23028,socks4|socks5,elite,IL,Tel Aviv,196,13.5,true,11.8,14.6,reviving
51.17.154.141,42991,https|socks4|socks5,elite,IL,Tel Aviv,198,10.3,true,11.8,9.4,reviving
51.16.4.39,2224,socks4,elite,IL,Tel Aviv,198,15.0,true,23.5,15.5,reviving
51.84.101.19,49606,https|socks4|socks5,elite,IL,Tel Aviv,199,11.2,true,6.3,9.6,reviving
16.62.123.236,59333,https|socks4,elite,CH,Zurich,199,14.4,true,6.3,7.6,reviving
51.16.4.39,11726,https|socks4|socks5,elite,IL,Tel Aviv,200,14.1,true,17.6,15.0,reviving
51.84.101.19,13633,https|socks4,elite,IL,Tel Aviv,200,9.8,true,18.8,6.9,reviving
51.84.101.19,44500,socks4|socks5,elite,IL,Tel Aviv,201,12.5,true,23.5,12.1,reviving
51.17.154.141,10104,https|socks4|socks5,elite,IL,Tel Aviv,201,11.6,true,11.8,10.5,reviving
51.49.153.183,33723,https|socks4|socks5,elite,ES,Zaragoza,201,11.3,true,22.2,11.2,reviving
15.237.108.20,84,https|socks4|socks5,elite,FR,Paris,201,12.0,true,23.5,10.5,reviving
51.84.101.19,8686,https|socks4|socks5,elite,IL,Tel Aviv,202,12.2,true,17.6,10.7,reviving
51.84.101.19,40016,https|socks4|socks5,elite,IL,Tel Aviv,203,13.3,true,17.6,13.3,reviving
51.85.44.149,10914,socks4,elite,IL,Tel Aviv,204,18.1,true,16.7,19.7,reviving
51.17.154.141,44444,socks4|socks5,elite,IL,Tel Aviv,204,10.9,true,5.9,10.6,reviving
13.53.139.178,46073,https|socks4|socks5,elite,SE,Stockholm,205,9.1,true,23.5,9.0,reviving
52.47.115.41,32798,https|socks4,elite,FR,Paris,205,10.8,true,6.3,9.3,reviving
51.85.44.149,15010,https|socks4|socks5,elite,IL,Tel Aviv,206,13.3,true,17.6,11.3,reviving
13.53.139.178,43924,https|socks4|socks5,elite,SE,Stockholm,206,14.8,true,11.1,8.5,reviving
51.84.101.19,1386,https|socks4,elite,IL,Tel Aviv,206,11.8,true,6.3,11.0,reviving
13.51.196.44,24423,socks4,elite,SE,Stockholm,206,13.9,true,12.5,13.7,reviving
51.84.101.19,46454,https|socks4|socks5,elite,IL,Tel Aviv,208,11.3,true,6.3,8.7,reviving
18.170.25.193,5862,socks4,elite,GB,City of London,208,13.6,true,6.3,8.5,reviving
51.17.154.141,51694,https|socks4|socks5,elite,IL,Tel Aviv,208,12.9,true,11.8,9.2,reviving
3.121.130.230,38230,https|socks4|socks5,elite,DE,Frankfurt am Main,209,11.5,true,6.3,7.1,reviving
79.110.200.27,8000,http,elite,PL,Wroclaw,211,88.1,true,86.4,91.5,flaky
13.60.181.61,19777,https|socks4|socks5,elite,SE,Stockholm,213,10.4,true,12.5,6.8,reviving
51.84.101.19,22800,socks4,elite,IL,Tel Aviv,214,12.4,true,16.7,10.4,reviving
51.84.101.19,25545,https|socks4|socks5,elite,IL,Tel Aviv,215,8.9,true,29.4,9.2,reviving
46.150.9.111,8123,http,elite,UA,Kharkiv,215,95.2,true,95.5,94.9,flaky
13.60.163.108,24083,socks4,elite,SE,Stockholm,216,13.7,true,11.8,9.3,reviving
51.85.44.149,59451,https|socks4|socks5,elite,IL,Tel Aviv,217,12.9,true,11.8,12.6,reviving
193.222.99.32,1080,http|https|socks4|socks5,elite,DE,Frankfurt am Main,217,97.9,true,100.0,97.9,stable
18.170.25.193,7474,https|socks4|socks5,elite,GB,City of London,219,13.1,true,11.8,7.1,reviving
16.62.123.236,9100,https|socks4|socks5,elite,CH,Zurich,221,12.1,true,23.5,11.1,reviving
51.34.28.236,32471,socks4|socks5,elite,CH,Zurich,221,13.1,true,6.3,9.1,reviving
