ip,port,protocols,anonymity,country,city,latency_ms,uptime_pct,alive,uptime_24h,uptime_7d,reliability
63.180.203.233,13991,https|socks4|socks5,elite,DE,Frankfurt am Main,52,78.0,true,78.6,78.0,flaky
13.36.211.95,45211,http|socks4|socks5,anonymous,FR,Paris,53,71.7,true,69.2,71.7,reviving
15.160.145.162,30920,socks4|socks5,elite,IT,Milan,53,87.5,true,92.3,87.5,flaky
15.160.67.218,39992,http|https|socks4|socks5,anonymous,IT,Milan,53,64.2,true,69.2,64.2,reviving
16.62.123.236,8223,socks4,elite,CH,Zurich,53,15.2,true,8.3,13.7,reviving
35.176.250.70,5566,https|socks4|socks5,elite,GB,City of London,53,81.5,true,85.7,81.5,reviving
51.96.146.123,7070,socks4,elite,CH,Zurich,53,80.1,true,50.0,80.4,reviving
13.38.72.189,40251,https|socks4|socks5,elite,FR,Paris,54,65.9,true,66.7,65.9,reviving
15.160.67.218,10473,http|https|socks4|socks5,anonymous,IT,Milan,54,73.0,true,69.2,73.0,reviving
16.18.22.211,8282,https|socks4|socks5,elite,CH,Zurich,54,76.9,true,69.2,76.9,reviving
35.176.250.70,8001,https|socks4|socks5,elite,GB,City of London,54,89.9,true,92.9,89.9,reviving
13.36.211.95,44085,https|socks4|socks5,elite,FR,Paris,55,83.0,true,92.9,83.0,reviving
15.161.131.175,88,https|socks4|socks5,elite,IT,Milan,55,10.4,true,50.0,11.4,reviving
16.18.118.122,3128,http|socks4,anonymous,CH,Zurich,55,63.2,true,92.9,58.9,reviving
35.180.75.159,4552,https|socks4|socks5,elite,FR,Paris,55,13.6,true,16.7,14.0,reviving
35.180.75.159,17437,https|socks4|socks5,elite,FR,Paris,55,12.3,true,25.0,9.7,reviving
63.181.83.210,11464,https|socks4,elite,DE,Frankfurt am Main,55,12.3,true,27.3,14.0,reviving
13.36.211.95,18818,socks5,elite,FR,Paris,56,75.3,true,71.4,75.3,reviving
15.160.116.45,21183,https|socks4|socks5,elite,IT,Milan,56,13.0,true,41.7,19.6,reviving
15.188.238.238,30010,socks5,elite,FR,Paris,56,83.6,true,92.9,83.6,reviving
3.121.130.230,39351,socks5,elite,DE,Frankfurt am Main,56,12.3,true,18.2,13.2,reviving
51.34.28.236,15796,https|socks4|socks5,elite,CH,Zurich,56,15.8,true,9.1,15.7,reviving
51.44.97.6,47592,https|socks4,elite,FR,Paris,56,20.8,true,50.0,20.8,reviving
15.160.116.45,4774,https|socks4,elite,IT,Milan,57,14.6,true,9.1,19.3,reviving
15.160.116.45,15662,socks4|socks5,elite,IT,Milan,57,13.8,true,9.1,17.2,reviving
15.160.67.218,41819,http|socks4|socks5,,IT,Milan,57,76.2,true,78.6,76.2,flaky
15.188.238.238,43009,socks4|socks5,elite,FR,Paris,57,67.6,true,61.5,67.6,reviving
16.18.37.186,18255,https|socks4,elite,CH,Zurich,57,26.5,true,38.5,26.5,reviving
3.123.254.15,50525,http|socks5,,DE,Frankfurt am Main,57,100.0,true,100.0,100.0,new
63.180.203.233,27613,https|socks4|socks5,elite,DE,Frankfurt am Main,57,72.0,true,85.7,72.0,reviving
63.181.83.210,4990,http|https|socks4|socks5,,DE,Frankfurt am Main,57,11.1,true,25.0,11.4,reviving
13.36.211.95,44777,https|socks4|socks5,elite,FR,Paris,58,72.9,true,69.2,72.9,flaky
15.160.116.45,8117,socks4,elite,IT,Milan,58,13.6,true,25.0,15.3,reviving
16.62.111.95,42165,socks4|socks5,elite,CH,Zurich,58,82.5,true,85.7,82.5,reviving
13.38.72.189,5443,socks4,elite,FR,Paris,60,85.8,true,58.3,84.3,reviving
13.41.196.179,20590,https|socks4|socks5,elite,GB,City of London,60,13.7,true,33.3,18.4,reviving
16.62.123.236,8091,http|https|socks4|socks5,,CH,Zurich,60,13.8,true,8.3,10.6,reviving
18.175.218.194,2505,https|socks4|socks5,elite,GB,City of London,60,94.1,true,92.9,94.1,flaky
95.211.174.135,3128,http,anonymous,NL,,60,57.3,true,78.6,62.0,reviving
13.36.211.95,808,https|socks4|socks5,elite,FR,Paris,61,77.7,true,76.9,78.0,reviving
15.160.16.72,8080,http|socks4|socks5,anonymous,IT,Milan,61,85.6,true,84.6,84.8,reviving
16.18.118.122,1080,http|https|socks4,,CH,Zurich,61,68.1,true,100.0,68.1,flaky
18.170.45.5,48303,http|https|socks4|socks5,,GB,City of London,61,68.5,true,69.2,68.5,reviving
195.201.249.114,80,http,transparent,DE,Nuremberg,61,100.0,true,100.0,100.0,stable
18.175.218.194,24074,https|socks4|socks5,elite,GB,City of London,62,77.2,true,100.0,77.2,flaky
35.159.62.164,5050,socks4|socks5,elite,DE,Frankfurt am Main,62,87.5,true,100.0,87.5,flaky
35.180.201.54,46927,socks5,elite,FR,Paris,62,71.4,true,41.7,71.4,reviving
52.47.115.41,55486,https|socks4,elite,FR,Paris,62,11.5,true,25.0,13.2,reviving
13.41.196.179,8087,socks4,elite,GB,City of London,63,10.6,true,27.3,13.7,reviving
15.160.116.45,23359,https|socks4,elite,IT,Milan,63,14.7,true,16.7,15.8,reviving
15.237.108.20,1080,https|socks4|socks5,elite,FR,Paris,63,14.8,true,27.3,15.3,reviving
16.18.37.186,53208,socks4,elite,CH,Zurich,63,13.4,true,25.0,21.6,reviving
51.44.97.6,11674,https|socks4,elite,FR,Paris,63,12.0,true,8.3,18.4,reviving
63.181.83.210,8093,socks5,elite,DE,Frankfurt am Main,63,12.8,true,9.1,13.2,reviving
16.18.37.186,227,https|socks4|socks5,elite,CH,Zurich,64,15.5,true,16.7,19.3,reviving
3.123.254.15,11273,socks5,elite,DE,Frankfurt am Main,64,75.3,true,78.6,75.3,reviving
63.180.203.233,24779,socks5,elite,DE,Frankfurt am Main,64,68.2,true,50.0,68.2,reviving
63.181.83.210,27010,socks5,elite,DE,Frankfurt am Main,64,12.4,true,18.2,12.2,reviving
15.237.108.20,12244,https|socks4|socks5,elite,FR,Paris,65,17.3,true,25.0,17.7,reviving
2.28.122.193,80,http|https,anonymous,DE,,66,100.0,true,100.0,100.0,stable
35.177.65.228,18496,socks4|socks5,elite,GB,City of London,66,79.2,true,61.5,79.2,reviving
35.180.201.54,28808,https|socks4|socks5,elite,FR,Paris,66,77.8,true,61.5,77.8,reviving
35.180.75.159,8059,https|socks4|socks5,elite,FR,Paris,66,12.6,true,18.2,12.7,reviving
13.38.72.189,1423,https|socks4|socks5,elite,FR,Paris,67,72.2,true,84.6,72.2,flaky
18.175.218.194,8998,https|socks4|socks5,elite,GB,City of London,67,75.3,true,33.3,75.3,reviving
212.127.95.235,8081,http,elite,PL,Wroclaw,67,88.6,true,100.0,94.7,flaky
51.34.28.236,16506,socks4|socks5,elite,CH,Zurich,67,12.6,true,25.0,15.4,reviving
13.38.72.189,1071,http|socks4|socks5,anonymous,FR,Paris,68,72.5,true,61.5,72.5,reviving
15.160.16.72,2564,https|socks4|socks5,elite,IT,Milan,68,100.0,true,100.0,100.0,new
212.47.232.28,80,http,elite,FR,Paris,68,87.8,true,92.9,93.2,flaky
51.96.146.123,51553,https|socks4|socks5,elite,CH,Zurich,68,67.4,true,61.5,67.4,reviving
15.161.131.175,56953,socks4,elite,IT,Milan,69,13.4,true,41.7,14.1,reviving
35.180.201.54,8181,socks4|socks5,elite,FR,Paris,69,76.8,true,92.3,76.8,flaky
63.181.83.210,9241,socks5,elite,DE,Frankfurt am Main,69,10.4,true,8.3,10.4,reviving
13.41.196.179,13167,https|socks4|socks5,elite,GB,City of London,70,16.9,true,18.2,17.1,reviving
15.224.107.208,80,https|socks4|socks5,elite,FR,Paris,70,74.1,true,53.8,74.1,reviving
3.127.27.51,6494,socks5,elite,DE,Frankfurt am Main,70,15.6,true,53.8,21.3,reviving
3.127.27.51,20190,socks4|socks5,elite,DE,Frankfurt am Main,70,13.1,true,23.1,16.1,reviving
63.181.83.210,39406,https|socks4,elite,DE,Frankfurt am Main,70,10.2,true,41.7,10.3,reviving
13.41.196.179,6124,https|socks4|socks5,elite,GB,City of London,71,13.5,true,16.7,12.1,reviving
16.62.111.95,5807,socks4|socks5,elite,CH,Zurich,71,71.4,true,69.2,71.4,reviving
18.134.208.86,14869,http|https|socks4|socks5,,GB,City of London,71,75.9,true,84.6,75.9,reviving
18.185.116.137,8890,socks5,elite,DE,Frankfurt am Main,71,83.0,true,69.2,83.0,reviving
3.123.254.15,8142,socks5,elite,DE,Frankfurt am Main,71,70.3,true,84.6,70.3,flaky
108.131.109.106,52473,socks4,elite,IE,Dublin,72,12.8,true,16.7,11.4,reviving
16.18.37.186,28981,https|socks4|socks5,elite,CH,Zurich,72,15.4,true,41.7,19.3,reviving
16.22.93.23,8083,https|socks4|socks5,elite,IT,Milan,72,75.7,true,76.9,75.7,reviving
108.131.109.106,50191,socks4|socks5,elite,IE,Dublin,73,14.2,true,16.7,13.2,reviving
13.38.72.189,43,https|socks4|socks5,elite,FR,Paris,73,73.7,true,69.2,73.7,reviving
